# OS: Linux; 3.2.0-60-generic; amd64
# JVM: Oracle Corporation; 1.7.0_25
# CPU: null
# Available processors: 32
# Maximum memory: 27233 MB
# Date: 2015-03-09 15:04:25+0100
# VM Arguments: 
5 5 5 5 5 -------------------------------------
Now working on a grid of size 25
Level array: 
5 5 5 5 5 -------------------------------------
HierarchizeOptimized
Run	Time in ms
5	18066.6
6	15031.4
7	13289.8
8	11791.8
9	10719.4
10	10067.6
11	8758.6
12	8834.8
13	8407.6
14	8029.8
15	7794.0
16	7591.2
17	7477.2
18	7444.4
19	7477.0
20	7435.6
21	7403.8
22	7428.0
23	7441.6
24	7399.6
25	7435.4
26	7382.8
27	7414.4
28	7513.2
29	7456.8
30	7472.6
31	7518.6
32	7500.0
7 6 6 6 6 -------------------------------------
Now working on a grid of size 31
Level array: 
7 6 6 6 6 -------------------------------------
HierarchizeOptimized
Run	Time in ms
1	57817.2
HierarchizeOptimizedThreads
Threads	Time in ms
1	59148.2
2	28136.6
3	19616.4
4	16845.6
5	15969.0
6	15049.0
7	14712.4
8	14300.8
9	14332.0
10	14259.6
11	14237.0
12	14241.2
13	14127.8
14	14090.0
15	13899.2
16	13646.6
17	13579.2
18	13554.2
19	13516.0
20	13529.2
21	13490.6
22	13508.8
23	13420.6
24	13363.8
25	13461.0
26	13434.6
27	13352.0
28	13383.2
29	13354.4
30	13398.4
31	13405.4
32	13371.2
HierarchizeOptimizedThreadsOnce
Threads	Time in ms
1	58900.0
2	29935.8
3	20560.4
4	17002.6
5	15597.8
6	14312.0
7	14065.4
8	13940.6
9	13733.2
10	13786.6
11	13785.8
12	14053.0
13	14028.6
14	13789.2
15	13895.4
16	13697.2
17	13738.8
18	13638.6
19	13625.8
20	13577.2
21	13555.6
22	13475.2
23	13479.6
24	13492.2
25	13528.0
26	13414.0
27	13480.0
28	13443.4
29	13439.4
30	13477.0
31	13451.6
32	13436.6
HierarchizeOptimizedTasks
Tasks	Time in ms
1	57201.6
2	29949.6
3	20659.4
4	17146.2
5	15593.6
6	14655.4
7	13912.8
8	13504.4
9	13657.4
10	13894.0
11	13838.4
12	13735.8
13	13889.0
14	13724.4
15	13927.2
16	13773.8
Java HotSpot(TM) 64-Bit Server VM warning: Attempt to protect stack guard pages failed.
Java HotSpot(TM) 64-Bit Server VM warning: Attempt to protect stack guard pages failed.
Java HotSpot(TM) 64-Bit Server VM warning: Attempt to deallocate stack guard pages failed.
Java HotSpot(TM) 64-Bit Server VM warning: Attempt to deallocate stack guard pages failed.
Java HotSpot(TM) 64-Bit Server VM warning: Attempt to allocate stack guard pages failed.
